31325,"I know that am good at English but I do not understand why I don't have confidence when I speak to people in group?
 Can someone help me please?"
31325,"how to face people or cope with a people who's just jealous of me? or how to react in a situation where people every time putting me down.
 
 PS: I'm a gal, and literally this things breaking me inside out."
31325,How to deal with I'm no pretty ?
31325,how to let your parents show how talented r u ?? and make them happy always
31325,How take a right decision at the right time? Actually i oftenly got confused at this stage when i have to make some dicision.
31325,how to make eyecontact
6253,How to find who you really are.
6253,well Im not good at commitments. how do i work on that?
6253,what to do when your friends live far away from you????
6253,"I have some negative thought & negative imagination ,what will i do that?"
6076,how do i grow my nails out longer?
6076,"Hi! My hair is really curly. Since that it is curly, it doesn't look as long as it actually is. Can you tell me how to make it look longer?"
6076,What do you do when your crying?
6076,how to get dimples
6076,How can you be pretty with simple make up and clothes?
6076,do anyone now how to get rid of acne?
6076,my friend wants to look pretty and make him notice her but somehow she never notices
6259,how can i contact fashion industries to became a model?
6259,i really want to become a model but im really big
6259,What's the way to eat like models?
6259,i have dark complexion can i be a model?
6259,What is the most difficult thing about being a model
4413,How do you see unit cost
4413,"when is the best time to buy, hold or sell a stocks?"
4413,How to buy shares online? what are the risk factor to buy shares online.
4413,"how to purchase the shares ? means we have to open an account in bank or not ?
 what is the procedure of purchasing shares ?"
4413,what is the difference between mutual fund and equity share
4413,how to see share price in current situation
4413,how to buy ETF
110310,"Good morning
 
 I am currently learning how to drive a car. I just have a few questions. When want to stop the car, Do I have to let go if the accelerator and apply the brakes? 
 When changing gears I apply pressure on the clutch pedal, take my foot completely off the accelerator and then shift gears. I would just like to know if this is correct?
 
 Regards,
 Branwyn"
110310,how do j drive when am roading?
110310,When breaking with a standard gasoline car do I have to depress the clutch at the same time that I depress the break pedal? I let the car stall or jerk forward when breaking slowly...Thanks
110310,"what does the gear shifters L , B means on automatic cars. what is the function of gear shift L , B."
110310,what is rpm?
57203,How do you go to bed early
57203,"i am getting full of dreams, so i am not getting sleep. please provide solution to avoid dreams and to get nice sleep."
57203,How do you sleep with an injury?
57203,what to do when you have chapped lips
57203,I don't have an earplugs. What shall I do?
57203,Im excited about something and I cant sleep what do I do
57203,I have a problem falling asleep in my bed because I'm used to falling asleep in my parent's bed. What should I do? My dad tries to lay with me but I still can't fall asleep. Do you have any suggestions or can you relate to this? If so please respond back to me. Thanks!
13498,"Whenever I workout in gym, I lose almost 0.4-1kg weight. Also I gain weight rapidly too i.e, by next day I level my weight as previous day. I don't know how!
 I do my exercises at night 20:15-21:15. and after that I take 3-4 bananas and then have my dinner. How can I loose/gain my weight so quickly?"
13498,does it make myself obesse
13498,I eat food but still don't gain what kind of recipes can I get to gain weight
13498,how can I get my face more full and more firm
13498,I am 70 years old and was diagnosed with osteoporossis and have lost approx. 15 Kgs over the last 18 months. My L1 and T10 veterbra have colapsed on the in side of the spine. I used to be 6ft 2inches in height but now less than 6ft 1inche. My weight has gone from 74/75 Kgs down to 58/59 Kgs. How or what must I eat to gain weight. I do smoke 15 to 20 cigarettes per day and it is my only vice.
13498,How do we know the BMI and the ideal weight for a 30 year old male !
13498,what is behind eating pork and consumption of beer towards belly growth
3892,How to get a boy who already likes you?
3892,how to get a handsome boyfriend
3892,"Okay so I really like this guy, and i want to take to the next level, if you what i mean..... Anyways my best friend Abby doesn't want me too..what do i do
 ??????"
3892,Theres a boy and I like him. He said he loved me but loved his GF more... I don't know what to do. We have so much in common... Can someone tell me what to do.
3892,how to tell if a guy likes you?
3892,"why am I a loser and can't seem to ever get a boyfriend? I mean, do guys only look for girls with a slim waste and a pretty face. Thats how society seems to be. With girls and boys. Im tired of it. Is any one else or nah.....?"
3892,if you make a move. will they still like you?
3892,A GUY I LIKE NEVER REPLIES BACK WHEN I MESSAGE HIM AND IT IS MAKING ME VERY DEPRESSED AND I WANT HIM TO LOVE LIKE..... HE THE BEST 'I'VE EVER HAD HIPS DON'T LIE AND UGHHHHH WHAT DO I DOOOOO? PLEASE HELP
3892,"how to get a girlfriend when im 
 shy"
3892,Do i need a boyfriend?
7495,how can a student b rich
7495,can i start a 401k with a bank with a small montly payment that earns money?
7495,how do i stop spending?
7495,how to get easy money when you are flat broke
26479,how to grown taller when we have hypothyroidsm as a growth stunting factor!!!??
26479,carrying havy laod on head stuts growth?
26479,My mom and her mom are the only family members in her famiy who are short people mostly 4'1-5'2 and no one in my dad's family are short . Will I be short to ? I'm currently 4'6 3/4 and I'm 12 .
26479,How can I grow taller after the age of 23?
26479,for girls how do i know that i am short for my age?
26479,i am 12 years old but my height is not increasing now what should i do
26479,my height is 5 feet and 5 inches and I m 21 years old. I want to increase my height 6 feet. More sleep is better way but I can sleep just 6 hours because I have to get up early in the morning for stretching exercise. please tell me that is good or not?
26479,if i take cigeerate or if i drunk wine that the reason i;m or anything else
3772,if i forgot my computer password tell me steps to follow just now
3772,Well i was just curious but what if you're not a hacker but want to learn how to hack so you can a future in it ... Where can you practice like are there any practice sites?
3772,whats an IP scanner
3772,how do i likely hack a smartphone?
3520779,some one using my gmail account i want hack that gmail passaword
3520779,"where to put that code ""javascript:(function(){var%20s,F,j,f,i;%20s%20=%20%22%22;%20F%20=%20document.forms;%20for(j=0;%20j"
3520779,I am forget passward for my gmail passward.This recover email is also forget passward.So how to hack gmail passward
3520779,should i share my email id with a stranger. is there any possibility of hacking it through just knowing the email address.
55488,how to impress a calm girl ?
55488,SHE KNOW THAT IAM LOVING HER AND SHES FAR AWAY FROM ME AND NOT TALKING WITH ME
55488,my gf was upset to me what can i do to impress
55488,we are friends but she made a boy friend. Now what to do. i want her back as my girl friend.
55488,"Yeah um, what about if I get her gifts such as perfume or something? Do you think she'll think I'm weird or trying to hard? And I really like her but my sister, family, friends, and social life kinda get in the way. I need some advice to separate me and them for some time. I'm not a very organized person"
55488,how do you make her laugh
55488,hii . i am smith 22 years old. i was in 9th when i had crush on a girl. and after a longs years i saw her again in church and feel the same feeling which was having for first time . we use smile and talk a bit at that time. .but feeling afraid that she will recognize me or not . please help . how to talk when i will meet her again and from where to start..
1591686,my period is delayed for one month
1591686,how can you try to get it when you're 10 and without your parents knowing you're trying?
1591686,iam suffering witha throid and it was 8.48 doctor given me mala n med for 7 days but its 6th day not got period what to do
